R=40001, TT=StCr, NTX=25, TB=1748726347.88s, D=0.18s
R=42665, TT=StCr, NTX=25, TB=1748732348.59s, D=0.30s
R=42666, TT=StCr, NTX=25, TB=1748732350.78s, D=0.16s
R=42667, TT=StCr, NTX=25, TB=1748732353.13s, D=0.27s
R=42668, TT=StCr, NTX=25, TB=1748732355.40s, D=0.29s
R=42669, TT=StCr, NTX=25, TB=1748732357.71s, D=0.33s
R=42670, TT=StCr, NTX=25, TB=1748732359.84s, D=0.19s
R=42671, TT=StCr, NTX=25, TB=1748732362.09s, D=0.27s
R=42672, TT=StCr, NTX=25, TB=1748732364.35s, D=0.27s
R=42673, TT=StCr, NTX=25, TB=1748732366.59s, D=0.30s
R=42674, TT=StCr, NTX=25, TB=1748732368.89s, D=0.41s
R=42675, TT=StCr, NTX=25, TB=1748732371.20s, D=0.34s
R=42676, TT=StCr, NTX=25, TB=1748732373.49s, D=0.32s
R=42677, TT=StCr, NTX=25, TB=1748732375.67s, D=0.21s
R=42678, TT=StCr, NTX=25, TB=1748732378.00s, D=0.32s
R=42679, TT=StCr, NTX=25, TB=1748732380.30s, D=0.35s
R=42680, TT=StCr, NTX=25, TB=1748732382.48s, D=0.26s
R=42681, TT=StCr, NTX=25, TB=1748732384.79s, D=0.32s
R=42682, TT=StCr, NTX=25, TB=1748732387.16s, D=0.35s
R=42683, TT=StCr, NTX=25, TB=1748732389.22s, D=0.17s
R=42684, TT=StCr, NTX=25, TB=1748732391.56s, D=0.32s
R=42685, TT=StCr, NTX=25, TB=1748732394.07s, D=0.34s
R=42686, TT=StCr, NTX=25, TB=1748732396.45s, D=0.33s
R=42687, TT=StCr, NTX=25, TB=1748732398.73s, D=0.26s
R=42688, TT=StCr, NTX=25, TB=1748732401.27s, D=0.55s
R=42689, TT=StCr, NTX=25, TB=1748732404.32s, D=0.42s
R=42690, TT=StCr, NTX=25, TB=1748732406.67s, D=0.34s
R=42691, TT=StCr, NTX=25, TB=1748732409.54s, D=0.34s
R=42692, TT=StCr, NTX=25, TB=1748732411.84s, D=0.30s
R=42693, TT=StCr, NTX=25, TB=1748732414.17s, D=0.31s
R=42694, TT=StCr, NTX=25, TB=1748732416.58s, D=0.35s
R=42695, TT=StCr, NTX=25, TB=1748732418.94s, D=0.33s
R=42696, TT=StCr, NTX=25, TB=1748732421.38s, D=0.39s
R=42697, TT=StCr, NTX=25, TB=1748732423.72s, D=0.33s
R=42698, TT=StCr, NTX=25, TB=1748732426.05s, D=0.26s
R=42699, TT=StCr, NTX=25, TB=1748732428.38s, D=0.33s
R=42700, TT=StCr, NTX=25, TB=1748732430.57s, D=0.27s
R=42701, TT=StCr, NTX=25, TB=1748732433.04s, D=0.18s
R=42702, TT=StCr, NTX=25, TB=1748732435.40s, D=0.24s
R=42703, TT=StCr, NTX=25, TB=1748732437.75s, D=0.30s
R=42704, TT=StCr, NTX=25, TB=1748732440.11s, D=0.34s
R=42705, TT=StCr, NTX=25, TB=1748732442.41s, D=0.35s
R=42706, TT=StCr, NTX=25, TB=1748732444.74s, D=0.33s
R=42707, TT=StCr, NTX=25, TB=1748732447.11s, D=0.33s
R=42708, TT=StCr, NTX=25, TB=1748732449.35s, D=0.27s
R=42709, TT=StCr, NTX=25, TB=1748732451.75s, D=0.31s
R=42710, TT=StCr, NTX=25, TB=1748732454.03s, D=0.31s
R=42711, TT=StCr, NTX=25, TB=1748732457.34s, D=0.31s
R=42712, TT=StCr, NTX=25, TB=1748732459.71s, D=0.25s
R=42713, TT=StCr, NTX=25, TB=1748732462.77s, D=0.32s
R=42714, TT=StCr, NTX=25, TB=1748732465.42s, D=0.29s
R=42715, TT=StCr, NTX=25, TB=1748732467.91s, D=0.31s
R=42716, TT=StCr, NTX=25, TB=1748732470.54s, D=0.26s
R=42717, TT=StCr, NTX=25, TB=1748732472.95s, D=0.31s
R=42718, TT=StCr, NTX=25, TB=1748732475.34s, D=0.37s
R=42719, TT=StCr, NTX=25, TB=1748732477.96s, D=0.32s
R=42720, TT=StCr, NTX=25, TB=1748732480.41s, D=0.30s
R=42721, TT=StCr, NTX=25, TB=1748732482.87s, D=0.35s
R=42722, TT=StCr, NTX=25, TB=1748732485.04s, D=0.19s
R=42723, TT=StCr, NTX=25, TB=1748732487.58s, D=0.19s
R=42724, TT=StCr, NTX=25, TB=1748732490.10s, D=0.24s
R=42725, TT=StCr, NTX=25, TB=1748732492.66s, D=0.29s
R=42726, TT=StCr, NTX=25, TB=1748732495.25s, D=0.28s
R=42727, TT=StCr, NTX=25, TB=1748732497.47s, D=0.21s
R=42728, TT=StCr, NTX=25, TB=1748732500.10s, D=0.29s
R=42729, TT=StCr, NTX=25, TB=1748732502.64s, D=0.29s
R=42730, TT=StCr, NTX=25, TB=1748732505.64s, D=0.35s
R=42731, TT=StCr, NTX=25, TB=1748732508.04s, D=0.23s
R=42732, TT=StCr, NTX=25, TB=1748732510.71s, D=0.32s
R=42733, TT=StCr, NTX=25, TB=1748732512.98s, D=0.33s
R=42734, TT=StCr, NTX=25, TB=1748732515.42s, D=0.16s
R=42735, TT=StCr, NTX=25, TB=1748732519.38s, D=0.20s
R=42736, TT=StCr, NTX=25, TB=1748732522.00s, D=0.37s
R=42737, TT=StCr, NTX=25, TB=1748732524.86s, D=0.27s
R=42738, TT=StCr, NTX=25, TB=1748732527.43s, D=0.25s
R=42739, TT=StCr, NTX=25, TB=1748732530.20s, D=0.28s
R=42740, TT=StCr, NTX=25, TB=1748732533.83s, D=0.32s
R=42741, TT=StCr, NTX=25, TB=1748732536.83s, D=0.32s
R=42742, TT=StCr, NTX=25, TB=1748732539.06s, D=0.30s
R=42743, TT=StCr, NTX=25, TB=1748732541.69s, D=0.30s
R=42744, TT=StCr, NTX=25, TB=1748732544.00s, D=0.18s
R=42745, TT=StCr, NTX=25, TB=1748732546.24s, D=0.23s
R=42746, TT=StCr, NTX=25, TB=1748732548.62s, D=0.23s
R=42747, TT=StCr, NTX=25, TB=1748732551.02s, D=0.22s
R=42748, TT=StCr, NTX=25, TB=1748732553.43s, D=0.33s
R=42749, TT=StCr, NTX=25, TB=1748732555.89s, D=0.30s
R=42750, TT=StCr, NTX=25, TB=1748732557.92s, D=0.25s
R=42751, TT=StCr, NTX=25, TB=1748732560.23s, D=0.17s
R=42752, TT=StCr, NTX=25, TB=1748732562.82s, D=0.31s
R=42753, TT=StCr, NTX=25, TB=1748732564.99s, D=0.18s
R=42754, TT=StCr, NTX=25, TB=1748732567.35s, D=0.32s
R=42755, TT=StCr, NTX=25, TB=1748732569.91s, D=0.28s
R=42756, TT=StCr, NTX=25, TB=1748732572.72s, D=0.30s
R=42757, TT=StCr, NTX=25, TB=1748732575.03s, D=0.33s
R=42758, TT=StCr, NTX=25, TB=1748732577.57s, D=0.28s
R=42759, TT=StCr, NTX=25, TB=1748732580.98s, D=0.29s
R=42760, TT=StCr, NTX=25, TB=1748732583.43s, D=0.42s
R=42761, TT=StCr, NTX=25, TB=1748732586.56s, D=0.28s
R=42762, TT=StCr, NTX=25, TB=1748732589.26s, D=0.28s
R=42763, TT=StCr, NTX=25, TB=1748732591.88s, D=0.27s
R=42764, TT=StCr, NTX=25, TB=1748732594.57s, D=0.27s
R=42765, TT=StCr, NTX=25, TB=1748732597.10s, D=0.29s
R=42766, TT=StCr, NTX=25, TB=1748732599.55s, D=0.30s
R=42767, TT=StCr, NTX=25, TB=1748732601.92s, D=0.20s
R=42768, TT=StCr, NTX=25, TB=1748732604.32s, D=0.31s
R=42769, TT=StCr, NTX=25, TB=1748732606.70s, D=0.15s
R=42770, TT=StCr, NTX=25, TB=1748732609.50s, D=0.31s
R=42771, TT=StCr, NTX=25, TB=1748732612.53s, D=0.33s
R=42772, TT=StCr, NTX=25, TB=1748732615.06s, D=0.33s
R=42773, TT=StCr, NTX=25, TB=1748732617.67s, D=0.25s
R=42774, TT=StCr, NTX=25, TB=1748732620.87s, D=0.35s
R=42775, TT=StCr, NTX=25, TB=1748732623.41s, D=0.32s
R=42776, TT=StCr, NTX=25, TB=1748732625.68s, D=0.19s
R=42777, TT=StCr, NTX=25, TB=1748732628.29s, D=0.29s
R=42778, TT=StCr, NTX=25, TB=1748732630.79s, D=0.30s
R=42779, TT=StCr, NTX=25, TB=1748732633.01s, D=0.18s
R=42780, TT=StCr, NTX=25, TB=1748732635.37s, D=0.32s
R=42781, TT=StCr, NTX=25, TB=1748732637.87s, D=0.32s
R=42782, TT=StCr, NTX=25, TB=1748732640.66s, D=0.28s
R=42783, TT=StCr, NTX=25, TB=1748732644.14s, D=0.43s
R=42784, TT=StCr, NTX=25, TB=1748732646.52s, D=0.19s
R=42785, TT=StCr, NTX=25, TB=1748732648.97s, D=0.24s
R=42786, TT=StCr, NTX=25, TB=1748732651.99s, D=0.22s
R=42787, TT=StCr, NTX=25, TB=1748732654.95s, D=0.31s
R=42788, TT=StCr, NTX=25, TB=1748732657.52s, D=0.31s
R=42789, TT=StCr, NTX=25, TB=1748732660.76s, D=0.34s
R=42790, TT=StCr, NTX=25, TB=1748732662.91s, D=0.25s
R=42791, TT=StCr, NTX=25, TB=1748732665.30s, D=0.30s
R=42792, TT=StCr, NTX=25, TB=1748732667.59s, D=0.19s
R=42793, TT=StCr, NTX=25, TB=1748732670.00s, D=0.28s
R=42794, TT=StCr, NTX=25, TB=1748732672.50s, D=0.29s
R=42795, TT=StCr, NTX=25, TB=1748732674.59s, D=0.18s
R=42796, TT=StCr, NTX=25, TB=1748732677.33s, D=0.29s
R=42797, TT=StCr, NTX=25, TB=1748732679.59s, D=0.21s
R=42798, TT=StCr, NTX=25, TB=1748732682.23s, D=0.30s
R=42799, TT=StCr, NTX=25, TB=1748732684.63s, D=0.17s
R=42800, TT=StCr, NTX=25, TB=1748732686.82s, D=0.20s
R=42801, TT=StCr, NTX=25, TB=1748732690.22s, D=0.33s
R=42802, TT=StCr, NTX=25, TB=1748732692.76s, D=0.29s
R=42803, TT=StCr, NTX=25, TB=1748732695.80s, D=0.30s
R=42804, TT=StCr, NTX=25, TB=1748732698.43s, D=0.32s
R=42805, TT=StCr, NTX=25, TB=1748732700.99s, D=0.30s
R=42806, TT=StCr, NTX=25, TB=1748732704.97s, D=0.33s
R=42807, TT=StCr, NTX=25, TB=1748732707.83s, D=0.24s
R=42808, TT=StCr, NTX=25, TB=1748732710.62s, D=0.33s
R=42809, TT=StCr, NTX=25, TB=1748732713.06s, D=0.31s
R=42810, TT=StCr, NTX=25, TB=1748732715.37s, D=0.20s
R=42811, TT=StCr, NTX=25, TB=1748732718.16s, D=0.28s
R=42812, TT=StCr, NTX=25, TB=1748732720.65s, D=0.31s
R=42813, TT=StCr, NTX=25, TB=1748732723.06s, D=0.30s
R=42814, TT=StCr, NTX=25, TB=1748732725.52s, D=0.31s
R=42815, TT=StCr, NTX=25, TB=1748732727.87s, D=0.32s
R=42816, TT=StCr, NTX=25, TB=1748732730.24s, D=0.31s
R=42817, TT=StCr, NTX=25, TB=1748732732.52s, D=0.36s
R=42818, TT=StCr, NTX=25, TB=1748732734.92s, D=0.30s
R=42819, TT=StCr, NTX=25, TB=1748732738.04s, D=0.30s
R=42820, TT=StCr, NTX=25, TB=1748732740.27s, D=0.24s
R=42821, TT=StCr, NTX=25, TB=1748732742.75s, D=0.28s
R=42822, TT=StCr, NTX=25, TB=1748732745.11s, D=0.21s
R=42823, TT=StCr, NTX=25, TB=1748732747.66s, D=0.31s
R=42824, TT=StCr, NTX=25, TB=1748732750.02s, D=0.36s
R=42825, TT=StCr, NTX=25, TB=1748732752.35s, D=0.29s
R=42826, TT=StCr, NTX=25, TB=1748732754.81s, D=0.31s
R=42827, TT=StCr, NTX=25, TB=1748732757.07s, D=0.27s
R=42828, TT=StCr, NTX=25, TB=1748732759.46s, D=0.27s
R=42829, TT=StCr, NTX=25, TB=1748732761.77s, D=0.34s
R=42830, TT=StCr, NTX=25, TB=1748732764.20s, D=0.27s
R=42831, TT=StCr, NTX=25, TB=1748732766.84s, D=0.17s
R=42832, TT=StCr, NTX=25, TB=1748732769.57s, D=0.33s
R=42833, TT=StCr, NTX=25, TB=1748732771.72s, D=0.28s
R=42834, TT=StCr, NTX=25, TB=1748732774.04s, D=0.28s
R=42835, TT=StCr, NTX=25, TB=1748732776.34s, D=0.30s
R=42836, TT=StCr, NTX=25, TB=1748732778.64s, D=0.15s
R=42837, TT=StCr, NTX=25, TB=1748732781.00s, D=0.28s
R=42838, TT=StCr, NTX=25, TB=1748732784.38s, D=0.28s
R=42839, TT=StCr, NTX=25, TB=1748732786.72s, D=0.38s
R=42840, TT=StCr, NTX=25, TB=1748732789.02s, D=0.33s
R=42841, TT=StCr, NTX=25, TB=1748732791.27s, D=0.26s
R=42842, TT=StCr, NTX=25, TB=1748732793.24s, D=0.17s
R=42843, TT=StCr, NTX=25, TB=1748732795.74s, D=0.23s
R=42844, TT=StCr, NTX=25, TB=1748732798.04s, D=0.25s
R=42845, TT=StCr, NTX=25, TB=1748732800.21s, D=0.16s
R=42846, TT=StCr, NTX=25, TB=1748732802.60s, D=0.32s
R=42847, TT=StCr, NTX=25, TB=1748732804.96s, D=0.27s
R=42848, TT=StCr, NTX=25, TB=1748732807.31s, D=0.35s
R=42849, TT=StCr, NTX=25, TB=1748732809.54s, D=0.32s
R=42850, TT=StCr, NTX=25, TB=1748732811.71s, D=0.18s
R=42851, TT=StCr, NTX=25, TB=1748732814.05s, D=0.37s
R=42852, TT=StCr, NTX=25, TB=1748732816.31s, D=0.29s
R=42853, TT=StCr, NTX=25, TB=1748732818.66s, D=0.28s
R=42854, TT=StCr, NTX=25, TB=1748732820.96s, D=0.21s
R=42855, TT=StCr, NTX=25, TB=1748732823.23s, D=0.46s
R=42856, TT=StCr, NTX=25, TB=1748732825.62s, D=0.16s
R=42857, TT=StCr, NTX=25, TB=1748732828.38s, D=0.34s
R=42858, TT=StCr, NTX=25, TB=1748732830.44s, D=0.16s
R=42859, TT=StCr, NTX=25, TB=1748732832.84s, D=0.31s
R=42860, TT=StCr, NTX=25, TB=1748732835.12s, D=0.32s
R=42861, TT=StCr, NTX=25, TB=1748732837.40s, D=0.29s
R=42862, TT=StCr, NTX=25, TB=1748732839.69s, D=0.31s
R=42863, TT=StCr, NTX=25, TB=1748732841.95s, D=0.33s
R=42864, TT=StCr, NTX=25, TB=1748732844.23s, D=0.32s
R=42865, TT=StCr, NTX=25, TB=1748732846.40s, D=0.26s
R=42866, TT=StCr, NTX=25, TB=1748732848.74s, D=0.36s
R=42867, TT=StCr, NTX=25, TB=1748732850.97s, D=0.27s
R=42868, TT=StCr, NTX=25, TB=1748732853.19s, D=0.26s
R=42869, TT=StCr, NTX=25, TB=1748732855.45s, D=0.27s
R=42870, TT=StCr, NTX=25, TB=1748732857.42s, D=0.16s
R=42871, TT=StCr, NTX=25, TB=1748732859.97s, D=0.32s
R=42872, TT=StCr, NTX=25, TB=1748732862.21s, D=0.26s
R=42873, TT=StCr, NTX=25, TB=1748732864.33s, D=0.20s
R=42874, TT=StCr, NTX=25, TB=1748732866.70s, D=0.31s
R=42875, TT=StCr, NTX=25, TB=1748732868.90s, D=0.23s
R=42876, TT=StCr, NTX=25, TB=1748732871.17s, D=0.26s
R=42877, TT=StCr, NTX=25, TB=1748732873.33s, D=0.17s
R=42878, TT=StCr, NTX=25, TB=1748732875.68s, D=0.35s
R=42879, TT=StCr, NTX=25, TB=1748732878.02s, D=0.30s
R=42880, TT=StCr, NTX=25, TB=1748732880.26s, D=0.30s
R=42881, TT=StCr, NTX=25, TB=1748732882.50s, D=0.30s
R=42882, TT=StCr, NTX=25, TB=1748732885.23s, D=0.28s
R=42883, TT=StCr, NTX=25, TB=1748732887.73s, D=0.29s
R=42884, TT=StCr, NTX=25, TB=1748732889.62s, D=0.15s
R=42885, TT=StCr, NTX=25, TB=1748732892.29s, D=0.29s
R=42886, TT=StCr, NTX=25, TB=1748732894.46s, D=0.24s
R=42887, TT=StCr, NTX=25, TB=1748732896.72s, D=0.31s
R=42888, TT=StCr, NTX=25, TB=1748732899.01s, D=0.30s
R=42889, TT=StCr, NTX=25, TB=1748732901.32s, D=0.31s
R=42890, TT=StCr, NTX=25, TB=1748732903.50s, D=0.25s
R=42891, TT=StCr, NTX=25, TB=1748732905.70s, D=0.22s
R=42892, TT=StCr, NTX=25, TB=1748732907.88s, D=0.21s
R=42893, TT=StCr, NTX=25, TB=1748732910.13s, D=0.29s
R=42894, TT=StCr, NTX=25, TB=1748732912.38s, D=0.31s
R=42895, TT=StCr, NTX=25, TB=1748732914.71s, D=0.32s
R=42896, TT=StCr, NTX=25, TB=1748732917.00s, D=0.28s
R=42897, TT=StCr, NTX=25, TB=1748732919.11s, D=0.21s
R=42898, TT=StCr, NTX=25, TB=1748732921.23s, D=0.16s
R=42899, TT=StCr, NTX=25, TB=1748732923.65s, D=0.19s
R=42900, TT=StCr, NTX=25, TB=1748732925.98s, D=0.23s
R=42901, TT=StCr, NTX=25, TB=1748732928.51s, D=0.30s
R=42902, TT=StCr, NTX=25, TB=1748732930.77s, D=0.31s
R=42903, TT=StCr, NTX=25, TB=1748732932.51s, D=0.16s
R=42904, TT=StCr, NTX=25, TB=1748732935.06s, D=0.29s
R=42905, TT=StCr, NTX=25, TB=1748732937.11s, D=0.25s
R=42906, TT=StCr, NTX=25, TB=1748732939.35s, D=0.23s
R=42907, TT=StCr, NTX=25, TB=1748732941.52s, D=0.19s
R=42908, TT=StCr, NTX=25, TB=1748732943.98s, D=0.41s
R=42909, TT=StCr, NTX=25, TB=1748732946.55s, D=0.23s
R=42910, TT=StCr, NTX=25, TB=1748732949.19s, D=0.21s
R=42911, TT=StCr, NTX=25, TB=1748732951.32s, D=0.27s
R=42912, TT=StCr, NTX=25, TB=1748732953.55s, D=0.19s
R=42913, TT=StCr, NTX=25, TB=1748732955.71s, D=0.23s
R=42914, TT=StCr, NTX=25, TB=1748732958.08s, D=0.28s
R=42915, TT=StCr, NTX=25, TB=1748732960.34s, D=0.31s
R=42916, TT=StCr, NTX=25, TB=1748732962.52s, D=0.35s
R=42917, TT=StCr, NTX=25, TB=1748732964.72s, D=0.32s
R=42918, TT=StCr, NTX=25, TB=1748732966.80s, D=0.17s
R=42919, TT=StCr, NTX=25, TB=1748732969.07s, D=0.17s
R=42920, TT=StCr, NTX=25, TB=1748732971.45s, D=0.30s
R=42921, TT=StCr, NTX=25, TB=1748732973.76s, D=0.28s
R=42922, TT=StCr, NTX=25, TB=1748732976.03s, D=0.25s
R=42923, TT=StCr, NTX=25, TB=1748732978.22s, D=0.21s
R=42924, TT=StCr, NTX=25, TB=1748732980.36s, D=0.17s
R=42925, TT=StCr, NTX=25, TB=1748732982.65s, D=0.17s
R=42926, TT=StCr, NTX=25, TB=1748732985.11s, D=0.30s
R=42927, TT=StCr, NTX=25, TB=1748732987.30s, D=0.26s
R=42928, TT=StCr, NTX=25, TB=1748732989.78s, D=0.34s
R=42929, TT=StCr, NTX=25, TB=1748732991.98s, D=0.26s
R=42930, TT=StCr, NTX=25, TB=1748732994.26s, D=0.29s
R=42931, TT=StCr, NTX=25, TB=1748732996.50s, D=0.31s
R=42932, TT=StCr, NTX=25, TB=1748732998.87s, D=0.34s
R=42933, TT=StCr, NTX=25, TB=1748733001.18s, D=0.33s
R=42934, TT=StCr, NTX=25, TB=1748733003.47s, D=0.49s
R=42935, TT=StCr, NTX=25, TB=1748733005.93s, D=0.36s
R=42936, TT=StCr, NTX=25, TB=1748733008.37s, D=0.36s
R=42937, TT=StCr, NTX=25, TB=1748733010.84s, D=0.33s
R=42938, TT=StCr, NTX=25, TB=1748733013.05s, D=0.31s
R=42939, TT=StCr, NTX=25, TB=1748733015.17s, D=0.19s
R=42940, TT=StCr, NTX=25, TB=1748733017.60s, D=0.33s
R=42941, TT=StCr, NTX=25, TB=1748733019.87s, D=0.36s
R=42942, TT=StCr, NTX=25, TB=1748733022.07s, D=0.30s
R=42943, TT=StCr, NTX=25, TB=1748733024.30s, D=0.18s
R=42944, TT=StCr, NTX=25, TB=1748733026.71s, D=0.32s
R=42945, TT=StCr, NTX=25, TB=1748733028.97s, D=0.44s
R=42946, TT=StCr, NTX=25, TB=1748733031.33s, D=0.27s
R=42947, TT=StCr, NTX=25, TB=1748733033.46s, D=0.17s
R=42948, TT=StCr, NTX=25, TB=1748733035.94s, D=0.19s
R=42949, TT=StCr, NTX=25, TB=1748733038.28s, D=0.28s
R=42950, TT=StCr, NTX=25, TB=1748733040.55s, D=0.29s
R=42951, TT=StCr, NTX=25, TB=1748733042.69s, D=0.19s
R=42952, TT=StCr, NTX=25, TB=1748733045.14s, D=0.35s
R=42953, TT=StCr, NTX=25, TB=1748733047.53s, D=0.35s
R=42954, TT=StCr, NTX=25, TB=1748733049.85s, D=0.35s
R=42955, TT=StCr, NTX=25, TB=1748733051.76s, D=0.16s
R=42956, TT=StCr, NTX=25, TB=1748733054.31s, D=0.21s
R=42957, TT=StCr, NTX=25, TB=1748733056.74s, D=0.32s
R=42958, TT=StCr, NTX=25, TB=1748733058.97s, D=0.26s
R=42959, TT=StCr, NTX=25, TB=1748733061.29s, D=0.23s
R=42960, TT=StCr, NTX=25, TB=1748733064.17s, D=0.33s
R=42961, TT=StCr, NTX=25, TB=1748733066.20s, D=0.18s
R=42962, TT=StCr, NTX=25, TB=1748733068.74s, D=0.17s
R=42963, TT=StCr, NTX=25, TB=1748733071.53s, D=0.31s
R=42964, TT=StCr, NTX=25, TB=1748733073.87s, D=0.30s
R=42965, TT=StCr, NTX=25, TB=1748733076.22s, D=0.34s
R=42966, TT=StCr, NTX=25, TB=1748733078.41s, D=0.19s
R=42967, TT=StCr, NTX=25, TB=1748733080.79s, D=0.31s
R=42968, TT=StCr, NTX=25, TB=1748733083.14s, D=0.36s
R=42969, TT=StCr, NTX=25, TB=1748733085.40s, D=0.32s
R=42970, TT=StCr, NTX=25, TB=1748733087.68s, D=0.32s
R=42971, TT=StCr, NTX=25, TB=1748733090.01s, D=0.35s
R=42972, TT=StCr, NTX=25, TB=1748733092.42s, D=0.35s
R=42973, TT=StCr, NTX=25, TB=1748733094.53s, D=0.21s
R=42974, TT=StCr, NTX=25, TB=1748733097.00s, D=0.23s
R=42975, TT=StCr, NTX=25, TB=1748733099.28s, D=0.31s
R=42976, TT=StCr, NTX=25, TB=1748733101.55s, D=0.28s
R=42977, TT=StCr, NTX=25, TB=1748733103.81s, D=0.27s
R=42978, TT=StCr, NTX=25, TB=1748733106.17s, D=0.36s
R=42979, TT=StCr, NTX=25, TB=1748733108.59s, D=0.32s
R=42980, TT=StCr, NTX=25, TB=1748733110.79s, D=0.17s
R=42981, TT=StCr, NTX=25, TB=1748733113.16s, D=0.30s
R=42982, TT=StCr, NTX=25, TB=1748733115.44s, D=0.29s
R=42983, TT=StCr, NTX=25, TB=1748733117.71s, D=0.19s
R=42984, TT=StCr, NTX=25, TB=1748733119.92s, D=0.20s
R=42985, TT=StCr, NTX=25, TB=1748733122.31s, D=0.44s
R=42986, TT=StCr, NTX=25, TB=1748733125.02s, D=0.22s
R=42987, TT=StCr, NTX=25, TB=1748733127.45s, D=0.39s
R=42988, TT=StCr, NTX=25, TB=1748733129.93s, D=0.32s
R=42989, TT=StCr, NTX=25, TB=1748733132.21s, D=0.21s
R=42990, TT=StCr, NTX=25, TB=1748733134.58s, D=0.22s
R=42991, TT=StCr, NTX=25, TB=1748733136.93s, D=0.19s
R=42992, TT=StCr, NTX=25, TB=1748733139.28s, D=0.32s
R=42993, TT=StCr, NTX=25, TB=1748733141.64s, D=0.29s
R=42994, TT=StCr, NTX=25, TB=1748733143.88s, D=0.35s
R=42995, TT=StCr, NTX=25, TB=1748733146.34s, D=0.30s
R=42996, TT=StCr, NTX=25, TB=1748733148.66s, D=0.29s
R=42997, TT=StCr, NTX=25, TB=1748733150.98s, D=0.30s
R=42998, TT=StCr, NTX=25, TB=1748733153.23s, D=0.30s
R=42999, TT=StCr, NTX=25, TB=1748733155.47s, D=0.29s
R=43000, TT=StCr, NTX=25, TB=1748733157.76s, D=0.26s
R=43001, TT=StCr, NTX=25, TB=1748733159.98s, D=0.22s
R=43002, TT=StCr, NTX=25, TB=1748733162.33s, D=0.25s
R=43003, TT=StCr, NTX=25, TB=1748733164.71s, D=0.34s
R=43004, TT=StCr, NTX=25, TB=1748733166.98s, D=0.31s
R=43005, TT=StCr, NTX=25, TB=1748733169.30s, D=0.31s
R=43006, TT=StCr, NTX=25, TB=1748733171.39s, D=0.18s
R=43007, TT=StCr, NTX=25, TB=1748733173.78s, D=0.19s
R=43008, TT=StCr, NTX=25, TB=1748733175.97s, D=0.24s
R=43009, TT=StCr, NTX=25, TB=1748733178.53s, D=0.27s
R=43010, TT=StCr, NTX=25, TB=1748733180.83s, D=0.29s
R=43011, TT=StCr, NTX=25, TB=1748733183.16s, D=0.46s
R=43012, TT=StCr, NTX=25, TB=1748733185.44s, D=0.19s
R=43013, TT=StCr, NTX=25, TB=1748733188.16s, D=0.26s
R=43014, TT=StCr, NTX=25, TB=1748733190.50s, D=0.24s
R=43015, TT=StCr, NTX=25, TB=1748733192.97s, D=0.30s
R=43016, TT=StCr, NTX=25, TB=1748733195.24s, D=0.37s
R=43017, TT=StCr, NTX=25, TB=1748733197.37s, D=0.17s
R=43018, TT=StCr, NTX=25, TB=1748733199.85s, D=0.28s
R=43019, TT=StCr, NTX=25, TB=1748733202.16s, D=0.32s
R=43020, TT=StCr, NTX=25, TB=1748733204.42s, D=0.32s
R=43021, TT=StCr, NTX=25, TB=1748733206.67s, D=0.19s
R=43022, TT=StCr, NTX=25, TB=1748733209.01s, D=0.36s
R=43023, TT=StCr, NTX=25, TB=1748733211.26s, D=0.22s
R=43024, TT=StCr, NTX=25, TB=1748733213.62s, D=0.27s
R=43025, TT=StCr, NTX=25, TB=1748733215.78s, D=0.18s
R=43026, TT=StCr, NTX=25, TB=1748733218.24s, D=0.34s
R=43027, TT=StCr, NTX=25, TB=1748733220.35s, D=0.21s
R=43028, TT=StCr, NTX=25, TB=1748733222.76s, D=0.32s
R=43029, TT=StCr, NTX=25, TB=1748733224.97s, D=0.28s
R=43030, TT=StCr, NTX=25, TB=1748733227.25s, D=0.32s
R=43031, TT=StCr, NTX=25, TB=1748733229.43s, D=0.28s
R=43032, TT=StCr, NTX=25, TB=1748733231.54s, D=0.16s
R=43033, TT=StCr, NTX=25, TB=1748733234.04s, D=0.31s
R=43034, TT=StCr, NTX=25, TB=1748733236.29s, D=0.29s
R=43035, TT=StCr, NTX=25, TB=1748733238.67s, D=0.31s
R=43036, TT=StCr, NTX=25, TB=1748733240.91s, D=0.22s
R=43037, TT=StCr, NTX=25, TB=1748733243.21s, D=0.51s
R=43038, TT=StCr, NTX=25, TB=1748733245.78s, D=0.20s
R=43039, TT=StCr, NTX=25, TB=1748733248.34s, D=0.21s
R=43040, TT=StCr, NTX=25, TB=1748733250.61s, D=0.26s
R=43041, TT=StCr, NTX=25, TB=1748733253.06s, D=0.18s
R=43042, TT=StCr, NTX=25, TB=1748733255.45s, D=0.34s
R=43043, TT=StCr, NTX=25, TB=1748733257.51s, D=0.16s
R=43044, TT=StCr, NTX=25, TB=1748733259.87s, D=0.29s
R=43045, TT=StCr, NTX=25, TB=1748733262.12s, D=0.27s
R=43046, TT=StCr, NTX=25, TB=1748733264.37s, D=0.29s
R=43047, TT=StCr, NTX=25, TB=1748733266.62s, D=0.29s
R=43048, TT=StCr, NTX=25, TB=1748733268.86s, D=0.20s
R=43049, TT=StCr, NTX=25, TB=1748733271.27s, D=0.32s
R=43050, TT=StCr, NTX=25, TB=1748733273.22s, D=0.18s
R=43051, TT=StCr, NTX=25, TB=1748733275.64s, D=0.17s
