R=90090, TT=RebTrOw, NTX=20, TB=1748840126.56s, D=0.27s
R=90090, TT=RebCr, NTX=49, TB=1748840126.84s, D=0.32s
R=90091, TT=RebTrOw, NTX=20, TB=1748840128.83s, D=0.31s
R=90091, TT=RebCr, NTX=68, TB=1748840129.13s, D=0.46s
R=90092, TT=RebTrOw, NTX=20, TB=1748840131.18s, D=0.27s
R=90092, TT=RebCr, NTX=52, TB=1748840131.45s, D=0.41s
R=90093, TT=RebTrOw, NTX=20, TB=1748840133.36s, D=0.20s
R=90093, TT=RebCr, NTX=66, TB=1748840133.56s, D=0.38s
R=90094, TT=RebTrOw, NTX=20, TB=1748840135.67s, D=0.23s
R=90094, TT=RebCr, NTX=60, TB=1748840135.91s, D=0.46s
R=90095, TT=RebTrOw, NTX=20, TB=1748840138.01s, D=0.28s
R=90095, TT=RebCr, NTX=55, TB=1748840138.30s, D=0.36s
R=90096, TT=RebTrOw, NTX=20, TB=1748840140.46s, D=0.29s
R=90096, TT=RebCr, NTX=47, TB=1748840140.76s, D=0.35s
R=90097, TT=RebTrOw, NTX=20, TB=1748840142.78s, D=0.29s
R=90097, TT=RebCr, NTX=63, TB=1748840143.07s, D=0.38s
R=90098, TT=RebTrOw, NTX=20, TB=1748840145.12s, D=0.25s
R=90098, TT=RebCr, NTX=56, TB=1748840145.37s, D=0.38s
R=90099, TT=RebTrOw, NTX=20, TB=1748840147.61s, D=0.29s
R=90099, TT=RebCr, NTX=67, TB=1748840147.90s, D=0.41s
R=90100, TT=RebTrOw, NTX=20, TB=1748840150.02s, D=0.25s
R=90100, TT=RebCr, NTX=55, TB=1748840150.28s, D=0.43s
R=90101, TT=RebTrOw, NTX=20, TB=1748840152.37s, D=0.27s
R=90101, TT=RebCr, NTX=59, TB=1748840152.64s, D=0.44s
R=90102, TT=RebTrOw, NTX=20, TB=1748840155.09s, D=0.25s
R=90102, TT=RebCr, NTX=63, TB=1748840155.34s, D=0.43s
R=90103, TT=RebTrOw, NTX=20, TB=1748840157.38s, D=0.28s
R=90103, TT=RebCr, NTX=58, TB=1748840157.66s, D=0.36s
R=90104, TT=RebTrOw, NTX=20, TB=1748840159.72s, D=0.23s
R=90104, TT=RebCr, NTX=58, TB=1748840159.95s, D=0.42s
R=90105, TT=RebTrOw, NTX=20, TB=1748840162.03s, D=0.24s
R=90105, TT=RebCr, NTX=67, TB=1748840162.28s, D=0.44s
R=90106, TT=RebTrOw, NTX=20, TB=1748840165.32s, D=0.28s
R=90106, TT=RebCr, NTX=65, TB=1748840165.61s, D=0.35s
R=90107, TT=RebTrOw, NTX=20, TB=1748840167.70s, D=0.28s
R=90107, TT=RebCr, NTX=58, TB=1748840167.98s, D=0.38s
R=90108, TT=RebTrOw, NTX=20, TB=1748840170.17s, D=0.29s
R=90108, TT=RebCr, NTX=71, TB=1748840170.46s, D=0.34s
R=90109, TT=RebTrOw, NTX=20, TB=1748840172.47s, D=0.25s
R=90109, TT=RebCr, NTX=51, TB=1748840172.72s, D=0.42s
R=90110, TT=RebTrOw, NTX=20, TB=1748840174.74s, D=0.29s
R=90110, TT=RebCr, NTX=53, TB=1748840175.03s, D=0.40s
R=90111, TT=RebTrOw, NTX=20, TB=1748840177.25s, D=0.26s
R=90111, TT=RebCr, NTX=50, TB=1748840177.50s, D=0.41s
R=90112, TT=RebTrOw, NTX=20, TB=1748840179.57s, D=0.27s
R=90112, TT=RebCr, NTX=54, TB=1748840179.84s, D=0.38s
R=90113, TT=RebTrOw, NTX=20, TB=1748840181.87s, D=0.31s
R=90113, TT=RebCr, NTX=67, TB=1748840182.17s, D=0.38s
R=90114, TT=RebTrOw, NTX=20, TB=1748840184.29s, D=0.28s
R=90114, TT=RebCr, NTX=71, TB=1748840184.57s, D=0.41s
R=90115, TT=RebTrOw, NTX=20, TB=1748840186.66s, D=0.26s
R=90115, TT=RebCr, NTX=57, TB=1748840186.92s, D=0.37s
R=90116, TT=RebTrOw, NTX=20, TB=1748840188.89s, D=0.26s
R=90116, TT=RebCr, NTX=71, TB=1748840189.16s, D=0.47s
R=90117, TT=RebTrOw, NTX=20, TB=1748840191.13s, D=0.18s
R=90117, TT=RebCr, NTX=54, TB=1748840191.30s, D=0.39s
R=90118, TT=RebTrOw, NTX=20, TB=1748840193.41s, D=0.25s
R=90118, TT=RebCr, NTX=48, TB=1748840193.66s, D=0.35s
R=90119, TT=RebTrOw, NTX=20, TB=1748840195.71s, D=0.27s
R=90119, TT=RebCr, NTX=56, TB=1748840195.98s, D=0.44s
R=90120, TT=RebTrOw, NTX=20, TB=1748840198.08s, D=0.28s
R=90120, TT=RebCr, NTX=51, TB=1748840198.36s, D=0.38s
R=90121, TT=RebTrOw, NTX=20, TB=1748840200.46s, D=0.29s
R=90121, TT=RebCr, NTX=55, TB=1748840200.75s, D=0.39s
R=90122, TT=RebTrOw, NTX=20, TB=1748840202.79s, D=0.28s
R=90122, TT=RebCr, NTX=75, TB=1748840203.07s, D=0.47s
R=90123, TT=RebTrOw, NTX=20, TB=1748840205.11s, D=0.36s
R=90123, TT=RebCr, NTX=57, TB=1748840205.47s, D=0.29s
R=90124, TT=RebTrOw, NTX=20, TB=1748840207.58s, D=0.26s
R=90124, TT=RebCr, NTX=55, TB=1748840207.84s, D=0.35s
R=90125, TT=RebTrOw, NTX=20, TB=1748840209.91s, D=0.26s
R=90125, TT=RebCr, NTX=58, TB=1748840210.17s, D=0.38s
R=90126, TT=RebTrOw, NTX=20, TB=1748840212.12s, D=0.25s
R=90126, TT=RebCr, NTX=63, TB=1748840212.37s, D=0.36s
R=90127, TT=RebTrOw, NTX=20, TB=1748840214.56s, D=0.26s
R=90127, TT=RebCr, NTX=56, TB=1748840214.82s, D=0.46s
R=90128, TT=RebTrOw, NTX=20, TB=1748840216.96s, D=0.30s
R=90128, TT=RebCr, NTX=56, TB=1748840217.26s, D=0.32s
R=90129, TT=RebTrOw, NTX=20, TB=1748840219.23s, D=0.27s
R=90129, TT=RebCr, NTX=49, TB=1748840219.50s, D=0.33s
R=90130, TT=RebTrOw, NTX=20, TB=1748840221.88s, D=0.31s
R=90130, TT=RebCr, NTX=65, TB=1748840222.19s, D=0.58s
R=90131, TT=RebTrOw, NTX=20, TB=1748840224.36s, D=0.26s
R=90131, TT=RebCr, NTX=57, TB=1748840224.62s, D=0.37s
R=90132, TT=RebTrOw, NTX=20, TB=1748840226.85s, D=0.29s
R=90132, TT=RebCr, NTX=63, TB=1748840227.15s, D=0.37s
R=90133, TT=RebTrOw, NTX=20, TB=1748840229.34s, D=0.29s
R=90133, TT=RebCr, NTX=57, TB=1748840229.63s, D=0.34s
R=90134, TT=RebTrOw, NTX=20, TB=1748840231.67s, D=0.29s
R=90134, TT=RebCr, NTX=63, TB=1748840231.96s, D=0.42s
R=90135, TT=RebTrOw, NTX=20, TB=1748840234.08s, D=0.24s
R=90135, TT=RebCr, NTX=59, TB=1748840234.32s, D=0.36s
R=90136, TT=RebTrOw, NTX=20, TB=1748840236.45s, D=0.29s
R=90136, TT=RebCr, NTX=68, TB=1748840236.74s, D=0.40s
R=90137, TT=RebTrOw, NTX=20, TB=1748840238.92s, D=0.33s
R=90137, TT=RebCr, NTX=64, TB=1748840239.25s, D=0.38s
R=90138, TT=RebTrOw, NTX=20, TB=1748840241.19s, D=0.23s
R=90138, TT=RebCr, NTX=67, TB=1748840241.41s, D=0.40s
R=90139, TT=RebTrOw, NTX=20, TB=1748840243.61s, D=0.29s
R=90139, TT=RebCr, NTX=58, TB=1748840243.90s, D=0.47s
R=90140, TT=RebTrOw, NTX=20, TB=1748840246.00s, D=0.26s
R=90140, TT=RebCr, NTX=53, TB=1748840246.26s, D=0.46s
R=90141, TT=RebTrOw, NTX=20, TB=1748840248.27s, D=0.20s
R=90141, TT=RebCr, NTX=59, TB=1748840248.47s, D=0.37s
R=90142, TT=RebTrOw, NTX=20, TB=1748840250.63s, D=0.28s
R=90142, TT=RebCr, NTX=52, TB=1748840250.91s, D=0.34s
R=90143, TT=RebTrOw, NTX=20, TB=1748840252.99s, D=0.26s
R=90143, TT=RebCr, NTX=54, TB=1748840253.25s, D=0.37s
R=90144, TT=RebTrOw, NTX=20, TB=1748840255.35s, D=0.31s
R=90144, TT=RebCr, NTX=57, TB=1748840255.67s, D=0.33s
R=90145, TT=RebTrOw, NTX=20, TB=1748840257.56s, D=0.28s
R=90145, TT=RebCr, NTX=64, TB=1748840257.84s, D=0.49s
R=90146, TT=RebTrOw, NTX=20, TB=1748840259.99s, D=0.28s
R=90146, TT=RebCr, NTX=63, TB=1748840260.26s, D=0.36s
R=90147, TT=RebTrOw, NTX=20, TB=1748840262.22s, D=0.27s
R=90147, TT=RebCr, NTX=54, TB=1748840262.49s, D=0.39s
R=90148, TT=RebTrOw, NTX=20, TB=1748840264.55s, D=0.27s
R=90148, TT=RebCr, NTX=57, TB=1748840264.82s, D=0.36s
R=90149, TT=RebTrOw, NTX=20, TB=1748840266.76s, D=0.21s
R=90149, TT=RebCr, NTX=56, TB=1748840266.97s, D=0.33s
R=90150, TT=RebTrOw, NTX=20, TB=1748840269.17s, D=0.24s
R=90150, TT=RebCr, NTX=65, TB=1748840269.41s, D=0.43s
R=90151, TT=RebTrOw, NTX=20, TB=1748840271.43s, D=0.29s
R=90151, TT=RebCr, NTX=70, TB=1748840271.72s, D=0.43s
R=90152, TT=RebTrOw, NTX=20, TB=1748840273.71s, D=0.21s
R=90152, TT=RebCr, NTX=70, TB=1748840273.93s, D=0.39s
R=90153, TT=RebTrOw, NTX=20, TB=1748840276.16s, D=0.32s
R=90153, TT=RebCr, NTX=56, TB=1748840276.49s, D=0.38s
R=90154, TT=RebTrOw, NTX=20, TB=1748840278.55s, D=0.25s
R=90154, TT=RebCr, NTX=56, TB=1748840278.80s, D=0.47s
R=90155, TT=RebTrOw, NTX=20, TB=1748840280.91s, D=0.24s
R=90155, TT=RebCr, NTX=64, TB=1748840281.15s, D=0.37s
R=90156, TT=RebTrOw, NTX=20, TB=1748840283.58s, D=0.28s
R=90156, TT=RebCr, NTX=63, TB=1748840283.85s, D=0.42s
R=90157, TT=RebTrOw, NTX=20, TB=1748840286.81s, D=0.20s
R=90157, TT=RebCr, NTX=69, TB=1748840287.02s, D=0.22s
R=90158, TT=RebTrOw, NTX=20, TB=1748840288.79s, D=0.20s
R=90158, TT=RebCr, NTX=54, TB=1748840288.99s, D=0.42s
R=90159, TT=RebTrOw, NTX=20, TB=1748840291.31s, D=0.28s
R=90159, TT=RebCr, NTX=71, TB=1748840291.59s, D=0.39s
R=90160, TT=RebTrOw, NTX=20, TB=1748840293.63s, D=0.27s
R=90160, TT=RebCr, NTX=49, TB=1748840293.90s, D=0.40s
R=90161, TT=RebTrOw, NTX=20, TB=1748840295.64s, D=0.15s
R=90161, TT=RebCr, NTX=64, TB=1748840295.79s, D=0.43s
R=90162, TT=RebTrOw, NTX=20, TB=1748840298.28s, D=0.24s
R=90162, TT=RebCr, NTX=58, TB=1748840298.53s, D=0.42s
R=90163, TT=RebTrOw, NTX=20, TB=1748840300.64s, D=0.28s
