R=90136, TT=TinTrOw, NTX=5, TB=1748840236.50s, D=0.21s
R=90136, TT=TinCr, NTX=8, TB=1748840236.71s, D=0.25s
R=90137, TT=TinTrOw, NTX=5, TB=1748840238.91s, D=0.17s
R=90137, TT=TinCr, NTX=10, TB=1748840239.09s, D=0.22s
R=90138, TT=TinTrOw, NTX=5, TB=1748840241.27s, D=0.18s
R=90138, TT=TinCr, NTX=10, TB=1748840241.45s, D=0.38s
R=90139, TT=TinTrOw, NTX=5, TB=1748840243.53s, D=0.14s
R=90139, TT=TinCr, NTX=9, TB=1748840243.67s, D=0.23s
R=90140, TT=TinTrOw, NTX=5, TB=1748840245.99s, D=0.19s
R=90140, TT=TinCr, NTX=10, TB=1748840246.19s, D=0.41s
R=90141, TT=TinTrOw, NTX=5, TB=1748840247.95s, D=0.12s
R=90141, TT=TinCr, NTX=13, TB=1748840248.06s, D=0.14s
R=90142, TT=TinTrOw, NTX=5, TB=1748840250.60s, D=0.17s
R=90142, TT=TinCr, NTX=7, TB=1748840250.77s, D=0.19s
R=90143, TT=TinTrOw, NTX=5, TB=1748840252.97s, D=0.20s
R=90143, TT=TinCr, NTX=10, TB=1748840253.17s, D=0.21s
R=90144, TT=TinTrOw, NTX=5, TB=1748840255.23s, D=0.14s
R=90144, TT=TinCr, NTX=12, TB=1748840255.37s, D=0.26s
R=90145, TT=TinTrOw, NTX=5, TB=1748840257.59s, D=0.24s
R=90145, TT=TinCr, NTX=8, TB=1748840257.83s, D=0.34s
R=90146, TT=TinTrOw, NTX=5, TB=1748840259.85s, D=0.13s
R=90146, TT=TinCr, NTX=12, TB=1748840259.98s, D=0.25s
R=90147, TT=TinTrOw, NTX=5, TB=1748840262.27s, D=0.20s
R=90147, TT=TinCr, NTX=10, TB=1748840262.47s, D=0.25s
R=90148, TT=TinTrOw, NTX=5, TB=1748840264.47s, D=0.16s
R=90148, TT=TinCr, NTX=9, TB=1748840264.64s, D=0.21s
R=90149, TT=TinTrOw, NTX=5, TB=1748840266.82s, D=0.18s
R=90149, TT=TinCr, NTX=13, TB=1748840267.00s, D=0.28s
R=90150, TT=TinTrOw, NTX=5, TB=1748840269.08s, D=0.16s
R=90150, TT=TinCr, NTX=12, TB=1748840269.24s, D=0.25s
R=90151, TT=TinTrOw, NTX=5, TB=1748840271.33s, D=0.13s
R=90151, TT=TinCr, NTX=9, TB=1748840271.46s, D=0.23s
R=90152, TT=TinTrOw, NTX=5, TB=1748840273.78s, D=0.17s
R=90152, TT=TinCr, NTX=9, TB=1748840273.94s, D=0.19s
R=90153, TT=TinTrOw, NTX=5, TB=1748840276.16s, D=0.21s
R=90153, TT=TinCr, NTX=11, TB=1748840276.36s, D=0.22s
R=90154, TT=TinTrOw, NTX=5, TB=1748840278.51s, D=0.17s
R=90154, TT=TinCr, NTX=9, TB=1748840278.69s, D=0.27s
R=90155, TT=TinTrOw, NTX=5, TB=1748840280.86s, D=0.14s
R=90155, TT=TinCr, NTX=8, TB=1748840281.00s, D=0.21s
R=90156, TT=TinTrOw, NTX=5, TB=1748840283.50s, D=0.15s
R=90156, TT=TinCr, NTX=9, TB=1748840283.65s, D=0.22s
R=90157, TT=TinTrOw, NTX=5, TB=1748840286.34s, D=0.19s
R=90157, TT=TinCr, NTX=8, TB=1748840286.53s, D=0.24s
R=90158, TT=TinTrOw, NTX=5, TB=1748840288.98s, D=0.20s
R=90158, TT=TinCr, NTX=9, TB=1748840289.18s, D=0.38s
R=90159, TT=TinTrOw, NTX=5, TB=1748840291.24s, D=0.14s
R=90159, TT=TinCr, NTX=10, TB=1748840291.38s, D=0.22s
R=90160, TT=TinTrOw, NTX=5, TB=1748840293.64s, D=0.20s
R=90160, TT=TinCr, NTX=8, TB=1748840293.84s, D=0.24s
R=90161, TT=TinTrOw, NTX=5, TB=1748840295.96s, D=0.25s
R=90161, TT=TinCr, NTX=9, TB=1748840296.21s, D=0.22s
R=90162, TT=TinTrOw, NTX=5, TB=1748840298.23s, D=0.17s
R=90162, TT=TinCr, NTX=10, TB=1748840298.40s, D=0.26s
R=90163, TT=TinTrOw, NTX=5, TB=1748840300.67s, D=0.23s
R=90163, TT=TinCr, NTX=10, TB=1748840300.90s, D=0.22s
R=90164, TT=TinTrOw, NTX=5, TB=1748840302.96s, D=0.17s
R=90164, TT=TinCr, NTX=10, TB=1748840303.14s, D=0.22s
R=90165, TT=TinTrOw, NTX=5, TB=1748840305.41s, D=0.19s
R=90165, TT=TinCr, NTX=11, TB=1748840305.60s, D=0.34s
R=90166, TT=TinTrOw, NTX=5, TB=1748840307.64s, D=0.22s
