R=30318, TT=StCr, NTX=25, TB=1748704150.12s, D=0.28s
R=30319, TT=StCr, NTX=25, TB=1748704152.17s, D=0.18s
R=30320, TT=StCr, NTX=25, TB=1748704154.29s, D=0.17s
R=30321, TT=StCr, NTX=25, TB=1748704156.62s, D=0.20s
R=30322, TT=StCr, NTX=25, TB=1748704158.81s, D=0.16s
R=30323, TT=StCr, NTX=25, TB=1748704161.11s, D=0.30s
R=30324, TT=StCr, NTX=25, TB=1748704163.24s, D=0.17s
R=30325, TT=StCr, NTX=25, TB=1748704165.44s, D=0.19s
R=30326, TT=StCr, NTX=25, TB=1748704167.69s, D=0.30s
R=30327, TT=StCr, NTX=25, TB=1748704169.95s, D=0.25s
R=30328, TT=StCr, NTX=25, TB=1748704172.09s, D=0.19s
R=30329, TT=StCr, NTX=25, TB=1748704174.40s, D=0.29s
R=30330, TT=StCr, NTX=25, TB=1748704176.62s, D=0.27s
R=30331, TT=StCr, NTX=25, TB=1748704178.76s, D=0.28s
R=30332, TT=StCr, NTX=25, TB=1748704180.94s, D=0.26s
R=30333, TT=StCr, NTX=25, TB=1748704183.38s, D=0.26s
R=30334, TT=StCr, NTX=25, TB=1748704185.56s, D=0.41s
R=30335, TT=StCr, NTX=25, TB=1748704187.89s, D=0.26s
R=30336, TT=StCr, NTX=25, TB=1748704189.94s, D=0.16s
R=30337, TT=StCr, NTX=25, TB=1748704192.19s, D=0.24s
R=30338, TT=StCr, NTX=25, TB=1748704194.39s, D=0.23s
R=30339, TT=StCr, NTX=25, TB=1748704196.59s, D=0.30s
R=30340, TT=StCr, NTX=25, TB=1748704198.88s, D=0.27s
R=30341, TT=StCr, NTX=25, TB=1748704201.01s, D=0.24s
R=30342, TT=StCr, NTX=25, TB=1748704203.17s, D=0.36s
R=30343, TT=StCr, NTX=25, TB=1748704205.82s, D=0.42s
R=30344, TT=StCr, NTX=25, TB=1748704207.82s, D=0.15s
